9:42,101,1
9:37,58,1
9:31,100,1
9:25,61,2
9:20,63,2
9:14,60,2
9:08,60,2
9:03,58,1
8:58,60,1
8:52,58,1
8:47,55,1
8:41,62,1
8:36,60,1
8:30,58,1
8:25,67,1
8:20,60,1
8:14,60,1
8:07,60,1
8:02,61,2
7:57,65,2
7:51,63,2
7:45,55,2
7:40,61,1
7:35,57,1
7:29,70,1
7:24,56,0
7:18,60,0
7:13,58,1
7:07,63,1
6:49,59,2
6:43,60,2
6:37,60,2
6:31,76,1
6:26,63,1
6:21,60,1
6:15,87,1
6:09,70,1
6:03,69,1
5:58,65,2
5:52,68,2
5:47,67,2
5:42,62,2
5:36,64,2
5:31,67,2
5:26,68,2
5:21,69,2
5:15,67,2
5:09,78,2
5:03,82,2
4:58,64,2
4:48,78,2
4:43,74,2
4:37,76,2
4:31,73,2
4:26,70,2
4:20,70,2
4:14,72,2
4:09,72,2
4:04,73,2
3:59,71,2
3:53,67,2
3:48,66,2
3:43,65,1
3:37,68,1
3:31,98,1
3:25,77,0
3:20,71,0
3:15,67,1
3:09,70,1
3:03,74,1
2:58,71,2
2:53,70,2
2:46,70,2
2:37,69,2
2:29,62,1
2:23,63,0
2:18,77,0
