10:07,77,0
09:56,53,0
09:01,49,1
08:56,50,2
08:50,53,2
08:45,52,2
08:39,52,2
08:34,55,2
08:28,58,2
08:23,56,1
08:17,56,1
08:11,55,2
08:05,73,2
07:46,53,2
07:40,52,2
07:35,53,2
07:29,50,2
07:22,49,2
07:17,49,2
07:11,51,2
07:05,50,2
07:00,65,2
06:54,61,2
06:48,66,2
06:42,57,2
06:37,57,1
06:31,52,1
06:25,77,1
06:19,55,0
06:14,52,0
06:08,50,1
06:03,51,1
05:57,53,1
05:51,56,2
05:46,51,2
05:40,50,2
05:34,51,2
05:29,52,2
05:23,52,2
05:18,55,1
05:12,57,1
05:06,61,0
05:00,57,0
04:55,63,0
04:49,54,1
04:43,55,1
04:37,51,1
04:31,52,2
04:25,54,2
04:19,52,2
04:11,50,2
04:05,56,2
03:59,52,2
03:54,56,2
03:48,49,2
03:42,53,2
03:36,55,1
03:31,71,1
02:50,51,2
02:44,52,2
02:37,49,1
02:32,49,1
02:26,56,0
02:21,56,0
02:15,63,0
